"wmi";"name";"id"
"LFV";"FAW-VOLKSWAGEN";1215
"1Z3";"MITSUBISHI";122
"1Z5";"MITSUBISHI";123
"1Z7";"MITSUBISHI";124
"LGB";"DONGFENG NISSAN";1216
"10T";"OSHKOSH";1
"11V";"OTTAWA";2
"137";"AM GENERAL, HUMMER";3
"145";"HYUNDAI";4
"15G";"GILLIG";5
"17N";"JOHN DEERE";6
"18X";"WRV";7
"19U";"ACURA";8
"1A4";"CHRYSLER";9
"1A8";"CHRYSLER";10
"1AC";"AMC";11
"1AM";"AMC";12
"ZPB";"LAMBORGHINI";1178
"1B4";"DODGE";14
"1B6";"DODGE";15
"Y6L";"LUAZ, LUTSK, UKRAINE";1179
"1B7";"DODGE";17
"1BA";"BLUE BIRD";18
"1BB";"BLUE BIRD";19
"1BD";"BLUE BIRD";20
"AAV";"VOLKSWAGEN";1180
"1C4";"CHRYSLER";22
"AHT";"TOYOTA";1181
"1C8";"CHRYSLER";24
"1C9";"CHANCE";25
"1CY";"CRANE CARRIER";26
"AFA";"FORD";1182
"1D4";"DODGE";28
"1D5";"DODGE";29
"1D7";"DODGE";30
"1D8";"DODGE";31
"1EC";"FLEETWOOD";32
"1F1";"FORD";33
"1F4";"FORD";34
"1F6";"FORD";35
"BF9";"KIBO MOTORCYCLES";1183
"CL9";"WALLYSCAR";1184
"JA";"ISUZU";1185
"JC1";"FIAT AUTOMOBILES/MAZDA";1186
"JF1-JF3";"SUBARU - FUJI HEAVY INDUSTRIES";1187
"1FE";"FORD";41
"1FF";"FORD";42
"JF4";"SAAB";1188
"JF5";"PONTIAC";1189
"JHL";"HONDA";1190
"JHM";"HONDA";1191
"JM0";"MAZDA FOR OCEANIA EXPORT";1192
"JM1";"MAZDA";1193
"JMB";"MITSUBISHI";1194
"JM6";"MAZDA";1195
"1G5";"GMC, PONTIAC";51
"JN";"NISSAN";1196
"JS";"SUZUKI";1197
"1GA";"CHEVROLET";54
"JT";"TOYOTA";1198
"JY";"YAMAHA";1199
"KL";"DAEWOO/GM KOREA";1200
"1GE";"CADILLAC";60
"1GF";"FLEXIBLE";61
"1GG";"ISUZU";62
"1GH";"GMC, OLDSMOBILE";63
"1GJ";"GMC";64
"1GK";"GMC";65
"KMH";"HYUNDAI";1201
"1GN";"CHEVROLET";67
"KN";"KIA";1202
"KPT";"SSANGYONG";1203
"1HF";"HONDA";70
"L2C";"CHERY JAGUAR LAND ROVER";1204
